oracle,h0,h1,h2,h3,h4,h5
Random,4706.0,8282.0,24704.5,35848.5,116000.0,200000.0
InterleavedRandom,3535.0,5151.5,26136.0,32495.5,132063.0,187791.0
InterleavedNewFirst,4195.5,6765.0,28555.5,41976.0,123571.5,166579.5
InterleavedOldFirst,3842.0,7093.0,21990.5,38841.5,117667.0,141977.0
StochasticLinear,3720.0,6985.5,29187.5,41700.0,115805.0,160720.0
StochasticSquare,3173.0,8376.0,31494.5,51177.0,118300.5,178142.5
StochasticExponential,2685.5,7342.5,37138.5,45903.5,120478.0,166815.5
