oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
Random,1.0,43.5,116.0,208.0,252.0,373.5,507.5,703.0,1305.5,3448.5,8947.0
InterleavedRandom,1.0,45.5,122.0,200.5,266.5,401.0,574.0,750.5,1246.5,3299.0,6790.0
InterleavedNewFirst,1.0,36.5,108.5,185.5,287.0,439.0,541.5,813.5,1399.0,2664.5,5758.5
InterleavedOldFirst,1.0,41.5,129.5,224.5,317.0,452.0,566.5,752.0,1554.5,3433.0,9432.0
StochasticLinear,1.0,24.0,85.0,135.0,231.0,385.0,509.0,823.5,1521.0,2901.5,5376.5
StochasticSquare,1.0,33.5,98.5,153.0,222.5,342.5,439.5,744.0,1062.5,2611.0,6422.0
StochasticExponential,1.0,25.5,78.5,179.0,282.5,385.5,511.5,754.5,1113.0,2532.5,7864.5
