oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
Random,0.0,70.60764831093017,109.71475516082602,152.04126906863146,144.8389709297881,183.30392112554495,192.2883511812403,249.83980367427446,528.2954287138967,1530.1282429914168,2888.1314768375764
InterleavedRandom,0.0,40.38811706430494,112.22097620320363,116.36919695520804,104.15300043685731,126.84694517409552,226.92694859800147,399.83427504404875,665.6234220638574,1572.0003307887694,3131.27252247389
InterleavedNewFirst,0.0,33.19502974844277,64.04334469716584,123.95620194246028,138.1040911776331,178.40355237494572,257.7552133323398,470.602231188931,796.8477018853729,2439.282099307089,4560.595650515402
InterleavedOldFirst,0.0,35.40494315770045,66.52172577436637,101.34243928384593,190.53710924646674,251.84071851072855,267.8235379872351,348.38619375629685,1072.7300266143388,3010.7108396523226,5817.149414446907
StochasticLinear,0.0,34.11726102722785,83.95719147279762,139.44263157298778,145.6305170628739,206.32519841260302,235.06541110933355,430.9371734951627,967.7427292416099,2307.27912214799,3197.436746442375
StochasticSquare,0.21794494717703372,26.9705394829247,69.32820493853853,82.44808972923508,158.02961747723114,196.8660966240759,224.43809837012967,315.85779632613156,639.2475479030013,1339.805045519683,6639.334529152752
StochasticExponential,0.0,35.953303047147145,81.50734629467456,108.62209719941886,115.1439968040019,157.4101251508301,192.7289482667303,378.5149765861319,675.3129848448051,1486.9362620838865,5029.678861269375
