oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10
Random,1.0,32.78305782592971,103.2510931732095,171.67478894443798,233.89348313776722,331.15255242755563,446.00843072633336,692.9501297416128,1255.312221815002,2406.0301361948054,4795.309587112721
InterleavedRandom,1.0,20.51218749365721,91.56167471542462,174.85917386525074,277.0159091907625,374.6624468629926,492.673800263091,786.9528969726631,1419.0603267817212,2655.1431858840974,6029.54531482313
InterleavedNewFirst,1.0,47.56707631377162,102.8766496327634,185.29734844686936,265.73104604381103,348.5310246972915,443.33115506156895,660.1702335030851,1215.8650052232765,3246.418140205746,8448.647212721697
InterleavedOldFirst,1.0,32.23415980997745,80.48854965402073,155.30172510689948,239.93174457774705,351.0742860307415,434.4852602359341,727.2766744656258,1230.5379250341098,2627.142687743617,7611.733820166741
StochasticLinear,1.0,30.116597063728396,84.47087671533569,144.87836709725542,240.3419037554891,415.8347895387776,541.9873898011525,832.4688946551844,1361.3963241953368,2700.656861827032,6330.041623642989
StochasticSquare,1.0352649238413776,15.6906162298031,57.572674072373026,131.37127910100037,216.27063315511728,335.6738853360954,491.64335262761085,745.6291382833572,1134.3029283343387,2675.1220878575573,6921.711335813464
StochasticExponential,1.0,20.407212014263752,71.46900293472068,149.69597451585673,256.9962040743793,351.11311802522084,449.8717897380809,761.0108903389577,1224.877273063413,2889.2529470391855,6579.516735969014
