oracle,h0,h1,h2,h3,h4,h5,h6
Random,1.0,25.447190865079882,69.1600750592869,121.908033499212,557.5167864441866,1401.8747604406285,10945.370519893106
InterleavedRandom,1.023373891996775,22.52127173031492,57.37508865307567,100.76453512180339,594.1289744176883,1614.3779770520096,10160.1676019404
InterleavedNewFirst,1.023373891996775,27.73022426512745,58.05146606552343,98.40939615264008,513.3912392435994,1391.071919503116,9992.16286681795
InterleavedOldFirst,1.0,25.387067171168923,58.19562120597603,94.36285252348682,600.4574769783674,1561.4044395115475,10288.477337163817
StochasticLinear,1.023373891996775,19.167420505449527,49.36636711414452,98.410694170181,505.8895091851697,1514.9043893270973,11880.34622276066
StochasticSquare,1.023373891996775,17.92222530345059,39.39965841295701,69.6631867891762,582.6530711868419,1572.287740010035,10141.60744134476
StochasticExponential,1.0,20.393281263543976,57.700434868026356,98.52143682231413,721.7838628515224,1356.2338323508957,9805.043892101043
