oracle,h0,h1,h2,h3,h4,h5,h6
Random,1.0,42.2,83.66666666666667,145.1,826.1666666666666,1873.2666666666667,16589.3
InterleavedRandom,1.0333333333333334,40.2,71.83333333333333,116.73333333333333,883.9,1952.1333333333334,15497.233333333334
InterleavedNewFirst,1.0333333333333334,37.166666666666664,66.6,104.43333333333334,663.6666666666666,1603.8333333333333,15422.966666666667
InterleavedOldFirst,1.0,32.233333333333334,71.26666666666667,108.76666666666667,842.4333333333333,1867.4,13361.8
StochasticLinear,1.0333333333333334,31.333333333333332,63.96666666666667,119.7,730.7333333333333,1946.7333333333333,16317.4
StochasticSquare,1.0333333333333334,30.466666666666665,54.96666666666667,86.06666666666666,844.4333333333333,2041.2,14263.0
StochasticExponential,1.0,32.733333333333334,70.2,110.4,1035.0666666666666,1714.4666666666667,13636.066666666668
