oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Random,1.0,25.307697710737838,63.3936928662333,140.27748980831066,201.20463900299208,279.60088023483576,524.8692735399518,773.851359430267,1184.673728414684,1522.1102549606114,4098.110935212409,60748.314269102266,156644.85280730738
InterleavedRandom,1.0472941228206267,27.428931748127802,68.71366283712011,131.9246286395712,232.7976431019556,339.72390780355835,655.3284727832781,917.6400661896911,1249.3245730008439,1642.440359323201,4321.340290582329,41401.10739850892,152075.86996406494
InterleavedNewFirst,1.023373891996775,37.58873869541286,79.33402656380342,151.01290513421483,222.5265341591248,318.07578033241236,590.6557900830949,943.9439272004516,1242.9146561168589,1864.8581235465067,4738.839740137126,73674.22865361939,185687.0972023735
InterleavedOldFirst,1.023373891996775,37.10470337734166,69.18531061923034,132.36149288364246,198.464975797089,280.1185268394957,620.3760526579277,888.3319380798775,1271.1693771844348,1578.9218853817947,3996.880137799445,56463.93436281895,186626.40368645158
StochasticLinear,1.0,19.604929501218706,57.26440043723215,118.19383348431468,192.8370943892353,265.9851464449871,526.2620352624983,1008.9119373301307,1508.5846604180413,1948.4784685836094,4933.728216360506,79565.8617990087,209453.32647014174
StochasticSquare,1.023373891996775,19.647884691150267,47.94154913038616,111.07853627885768,185.97208914135007,298.3560399063714,568.2739746281059,962.3300631239534,1333.474217655901,1832.9538004670453,4869.850626215033,98372.69362667429,212176.4561617692
StochasticExponential,1.023373891996775,19.459884274368893,52.69004793362634,113.63475601097988,180.91188136456915,280.4762003977846,496.000456662119,736.6289848326911,981.119253544065,1497.184054757726,4746.007730312727,71245.70666074421,190802.31727511433
