,Random,InterleavedRandom,InterleavedNewFirst,InterleavedOldFirst,StochasticLinear,StochasticSquare,StochasticExponential
84,18000.0,18069.0,18145.0,18112.0,50132.0,50019.0,50042.0
85,18000.0,18028.0,18029.0,18003.0,50094.0,50018.0,50137.0
86,18000.0,18024.0,18065.0,18054.0,50049.0,50022.0,50061.0
87,18000.0,18028.0,18129.0,18020.0,50113.0,50049.0,50042.0
88,18000.0,18105.0,18039.0,18102.0,50014.0,50058.0,50302.0
89,18000.0,18153.0,18032.0,18002.0,50050.0,50047.0,50036.0
90,18000.0,18346.0,18078.0,18008.0,50243.0,50033.0,50114.0
91,18000.0,18048.0,18052.0,18102.0,50006.0,50108.0,50076.0
92,18000.0,18028.0,18036.0,18053.0,50081.0,50041.0,50049.0
93,18000.0,18093.0,18025.0,18077.0,50029.0,50058.0,50124.0
94,18000.0,18060.0,18027.0,18031.0,50040.0,50220.0,50027.0
95,18000.0,18018.0,18022.0,18026.0,50022.0,50312.0,50042.0
96,18000.0,18106.0,18125.0,18012.0,50036.0,50011.0,50028.0
97,18000.0,18144.0,18096.0,18041.0,50051.0,50033.0,50034.0
98,18000.0,18033.0,18071.0,18039.0,50045.0,50092.0,50105.0
99,18000.0,18128.0,18068.0,18012.0,50012.0,50012.0,50091.0
100,18000.0,18066.0,18030.0,18087.0,50053.0,50121.0,50052.0
101,18000.0,18133.0,18151.0,18048.0,50040.0,50012.0,50064.0
102,18000.0,18023.0,18028.0,18129.0,50059.0,50078.0,50081.0
103,18000.0,18067.0,18077.0,18033.0,50049.0,50025.0,50014.0
104,18000.0,18019.0,18032.0,18014.0,50187.0,50042.0,50309.0
105,18000.0,18061.0,18012.0,18032.0,50190.0,50198.0,50106.0
106,18000.0,18037.0,18076.0,18052.0,50077.0,50149.0,50118.0
107,18000.0,18085.0,18039.0,18042.0,50084.0,50047.0,50100.0
108,18000.0,18120.0,18035.0,18225.0,50157.0,50138.0,50173.0
109,18000.0,18064.0,18063.0,18026.0,50066.0,50016.0,50046.0
110,18000.0,18057.0,18053.0,18027.0,50116.0,50027.0,50057.0
111,18000.0,18019.0,18029.0,18028.0,50062.0,50017.0,50124.0
112,18000.0,18138.0,18168.0,18094.0,50202.0,50025.0,50034.0
113,18000.0,18055.0,18062.0,18108.0,50021.0,50012.0,50137.0
114,18000.0,18128.0,18055.0,18025.0,50134.0,50137.0,50140.0
115,18000.0,18045.0,18122.0,18129.0,50313.0,50393.0,50042.0
116,18000.0,18084.0,18031.0,18057.0,50043.0,50057.0,50124.0
117,18000.0,18051.0,18050.0,18095.0,50042.0,50251.0,50053.0
118,18000.0,18159.0,18140.0,18002.0,50080.0,50019.0,50140.0
119,18000.0,18044.0,18267.0,18031.0,50041.0,50020.0,50051.0
120,17000.0,17305.0,17301.0,17099.0,50233.0,50330.0,50216.0
121,17000.0,17243.0,17449.0,17060.0,50030.0,50272.0,50066.0
122,17000.0,17737.0,17358.0,17130.0,50130.0,50286.0,50207.0
123,17000.0,17124.0,17262.0,17095.0,50738.0,50011.0,50008.0
124,17000.0,17021.0,17205.0,17265.0,50082.0,50004.0,50022.0
125,17000.0,17082.0,17003.0,17158.0,50714.0,50169.0,50037.0
126,17000.0,17423.0,17465.0,17269.0,50408.0,50050.0,50077.0
127,17000.0,17264.0,17460.0,17290.0,50422.0,50164.0,50148.0
128,17000.0,17005.0,17050.0,17423.0,50066.0,50537.0,50222.0
129,17000.0,17097.0,17475.0,17110.0,50057.0,50319.0,50101.0
130,17000.0,17355.0,17011.0,17043.0,50015.0,50224.0,50058.0
131,17000.0,17148.0,17053.0,17355.0,50104.0,50126.0,50421.0
132,17000.0,17250.0,17355.0,17126.0,50807.0,50244.0,50921.0
133,17000.0,17219.0,17120.0,17182.0,50666.0,50072.0,50105.0
