oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,0.0,7.8324644908227965,13.309676930714733,14.561850843900304,15.30775947028173,18.39150619171796,77.47973928711943,88.97561463682057,102.17455651971288,185.34197446881805,290.2351589659668,388.1385673957176,653.1340597457769,722.2654705854351,885.1673782398445,1263.333046943679,52948.291203210705
InterleavedRandom,0.0,11.29601699715435,11.459057552870568,15.02631025900903,17.62838619953625,17.003749586488272,74.62524706826773,115.55711791144672,139.03750393329133,157.19704195690198,577.5644963984541,637.08307739258,600.0737850464725,608.873096383803,863.7490303901939,1149.401827038743,65806.71698077257
InterleavedNewFirst,0.0,6.29285308902091,9.874208829065749,10.09690546652785,12.854084953819156,17.141397259266817,36.50380117193277,93.58787314604386,95.91573124362864,159.94658483381258,302.56815761081003,481.6307169398563,656.3715620744091,652.5331773174449,903.747214380216,995.5422781077657,47729.63950513349
InterleavedOldFirst,0.21794494717703367,8.535074692116057,9.265392598265871,20.74873490119337,20.103420107036516,22.891919971902748,123.69473513452381,144.45622174209043,143.36940921967977,168.7186637571552,301.37362193795263,433.9448006371318,587.5337352016478,814.9436345539488,904.6797706923705,932.2200598571133,72128.79983908993
StochasticLinear,0.0,8.034923770640265,10.258654882585727,12.656618821786488,20.881810266353824,25.940846169699245,64.35252520297863,119.3284961775686,124.76877614211014,162.8165455351513,378.14418876931063,585.7130931608069,904.5377424408558,1046.1666263076834,1647.3005524190173,1611.7264431348142,71991.56042488592
StochasticSquare,0.0,13.756725627852,15.016990377569002,13.893433700853075,13.901079094804114,21.038714314330143,66.12911612897906,92.94529304919104,105.7140482622816,144.30879217843938,588.1824631863823,687.3577380083824,829.3390304935612,871.4263752606987,1006.467580203158,1086.8442057167163,73562.85890398429
StochasticExponential,0.0,10.360501918343532,13.87398644946722,13.148669134174758,18.569531496513314,23.89241511442491,67.08800190794179,151.08342066553828,156.4445269097005,255.76129496075043,454.47363784932566,556.7871653513575,566.808951499533,482.3060102258731,603.8848793437372,837.9847194310884,74438.98631295297
