oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,1.0,9.265200308177578,16.777187134482784,25.629234659463584,32.89716376580823,43.734584624277815,126.14401661579745,204.0221253324279,269.4982862528276,410.0813926293964,601.6059245497361,861.5826138566033,1336.2991082149808,1598.9180237679743,1991.2781962580536,2568.7939490293315,79659.0657524968
InterleavedRandom,1.023373891996775,8.021930867687317,15.331119516208075,26.755832217060778,35.58226065165846,52.53220695845613,111.27203124215842,193.95151478134653,294.30499566226666,426.57497194624534,753.5804701738169,1088.883449742144,1443.318630528655,1847.6269575306935,2250.922101744436,2700.8139208898147,55252.80696774831
InterleavedNewFirst,1.0,10.856707364038565,21.704749465185692,32.63142898331342,42.44058712868341,56.18848043397752,129.14912453108326,212.0572327555762,273.77476561590015,435.3212223943082,806.8861687572944,1061.1176877910475,1410.099035189951,1620.610506602188,1956.6037058052027,2470.626574438391,72266.47806086969
InterleavedOldFirst,1.023373891996775,10.81590382556734,21.971153945997415,32.89532025627672,43.72128517205417,56.48268925529521,103.86940220565121,183.80055970599852,268.68440653884915,389.922902670246,693.3896268999621,925.65173751944,1176.8073917661025,1466.573187514052,1754.377604265592,2435.921050927108,94708.9872643324
StochasticLinear,1.023373891996775,7.251447053458185,17.080179857178422,27.637072035659088,39.02029997531595,52.14419614879897,105.6285451831371,164.0485531805572,236.52694975312596,421.9858792039549,733.7032976755854,1161.2718718336218,1625.3107331755261,2025.6337125622351,2395.3922547713605,3223.2666701929616,140805.38048122285
StochasticSquare,1.023373891996775,7.758002675919983,17.178173261971832,27.84251491101124,39.57170576086462,49.191417593275844,104.84377967476077,196.02271267299523,278.2297990846838,399.5595383884192,722.5734323680219,1206.039080506403,1628.610448539345,2009.7464930060487,2403.5643226179363,3193.7682180521333,135586.3054189861
StochasticExponential,1.023373891996775,8.513861128067871,18.542644853510694,26.610762441962876,38.045593628222974,48.32825238428187,101.90701273068731,177.85273345600913,278.3492593414576,393.3503191885804,765.0948374049026,1116.61194670172,1506.3829543224513,1926.7181209393602,2287.0406759091743,2745.629335405531,56531.62590554549
