oracle,h0,h1,h2,h3,h4,h5
Random,1.2333333333333334,2.7,3.966666666666667,6.066666666666666,7.866666666666666,13.2
InterleavedRandom,1.2333333333333334,2.566666666666667,3.9,5.9,8.333333333333334,13.8
InterleavedNewFirst,1.0666666666666667,2.3666666666666667,3.7333333333333334,5.8,7.866666666666666,13.0
InterleavedOldFirst,1.1666666666666667,2.4,3.533333333333333,5.566666666666666,8.2,13.8
StochasticLinear,1.2,2.433333333333333,3.8666666666666667,6.1,8.733333333333333,15.433333333333334
StochasticSquare,1.1666666666666667,2.6333333333333333,3.966666666666667,6.166666666666667,8.833333333333334,13.866666666666667
StochasticExponential,1.1,2.566666666666667,3.966666666666667,5.866666666666666,8.566666666666666,13.866666666666667
