oracle,h0,h1,h2,h3,h4,h5,h6
Random,1.0,16.5,39.5,104.0,194.5,705.0,1636.5
InterleavedRandom,1.0,13.0,39.0,122.5,167.0,591.0,1338.5
InterleavedNewFirst,1.0,16.0,49.5,92.0,176.0,691.0,1812.0
InterleavedOldFirst,1.0,15.5,44.0,101.0,159.5,620.5,1499.5
StochasticLinear,1.0,10.0,30.0,61.5,176.0,565.0,1412.0
StochasticSquare,1.0,18.0,44.5,115.5,204.0,864.0,1393.0
StochasticExponential,1.0,11.0,30.0,76.5,178.5,531.0,1537.5
