oracle,h0,h1,h2,h3,h4,h5,h6
Random,1.0,20.066666666666666,44.6,115.16666666666667,219.66666666666666,827.5666666666667,1845.6666666666667
InterleavedRandom,1.0,20.733333333333334,47.9,111.5,203.53333333333333,853.3666666666667,1751.3666666666666
InterleavedNewFirst,1.0,21.433333333333334,50.733333333333334,119.63333333333334,183.3,741.2333333333333,2035.0
InterleavedOldFirst,1.0333333333333334,24.2,53.4,112.2,205.36666666666667,775.6,1545.9333333333334
StochasticLinear,1.0,14.7,34.166666666666664,76.16666666666667,207.9,714.9,1886.4
StochasticSquare,1.0333333333333334,20.033333333333335,46.8,146.16666666666666,257.4,859.0333333333333,1636.7
StochasticExponential,1.0,12.333333333333334,34.7,81.66666666666667,214.7,670.5,1837.9666666666667
