,Score
Random,3.265686886594165
InterleavedRandom,3.067786560483513
InterleavedNewFirst,3.556746649202072
InterleavedOldFirst,3.2150897901655693
StochasticLinear,3.6604519696517723
StochasticSquare,3.594617796051892
StochasticExponential,3.4310893392204713
