,Score
Random,383017.9666666667
InterleavedRandom,387790.6333333333
InterleavedNewFirst,452006.9666666667
InterleavedOldFirst,442323.9666666667
StochasticLinear,569198.1000000001
StochasticSquare,540550.4
StochasticExponential,476902.3333333334
