oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,1.0333333333333334,49.1,76.66666666666667,170.56666666666666,230.33333333333334,326.56666666666666,539.1,4660.633333333333,20008.533333333333,89531.83333333333
InterleavedRandom,1.0,32.43333333333333,77.06666666666666,159.9,211.23333333333332,321.9,603.6666666666666,4003.366666666667,17562.2,93565.03333333334
InterleavedNewFirst,1.0,57.233333333333334,91.03333333333333,194.43333333333334,262.56666666666666,368.1,658.4333333333333,4731.2,22001.066666666666,109117.53333333334
InterleavedOldFirst,1.0333333333333334,39.86666666666667,82.96666666666667,197.16666666666666,266.53333333333336,403.1,599.4333333333333,4643.2,19470.033333333333,113940.76666666666
StochasticLinear,1.0,37.4,83.1,160.2,243.66666666666666,355.4,696.6,6023.833333333333,29293.533333333333,146691.83333333334
StochasticSquare,1.0333333333333334,46.0,76.6,178.13333333333333,259.7,396.1,697.8,4297.333333333333,22026.6,137827.23333333334
StochasticExponential,1.0,33.03333333333333,71.56666666666666,138.2,246.2,357.5,679.1,5681.1,20097.966666666667,111020.9
