oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,0.17950549357115006,36.20345287400085,42.235319606014855,74.40550308202269,92.06531497921584,159.0443718659111,281.4545966936763,3337.699342194993,13816.399482096951,57758.438065840695
InterleavedRandom,0.0,27.185392319323917,54.22910247787211,124.47097385870063,116.29092350174577,182.37970464573812,352.83700990054257,3824.36387288425,15757.572277902875,64456.242457180895
InterleavedNewFirst,0.0,37.424308796407836,58.02555950230515,98.50369987411077,113.38597306937436,118.68904751492447,275.6336558227646,3382.8071420049946,16350.586523492733,66041.61476914049
InterleavedOldFirst,0.1795054935711501,27.507251569156974,49.9202586353699,111.22771936687165,118.5916616892698,128.49029794761418,241.00562695136855,3607.3975328482998,14403.24857913041,76764.0178259247
StochasticLinear,0.0,27.011849251763564,53.421812024677706,79.6765963128446,96.29653276324241,151.3289132981533,274.6774593348837,6222.321941115622,22430.775801315678,80509.95617151268
StochasticSquare,0.17950549357115006,39.770173078158294,48.87235073808775,114.44117363179312,126.67495148344575,229.07209200016774,374.11401114277095,2755.5303341139656,15782.957113291539,70175.30445376698
StochasticExponential,0.0,36.436687860207904,58.29447277019971,56.24849627619687,133.63866705910135,135.17513331477303,239.47182854495992,5494.889973724073,13230.868292200461,64422.0892072225
