oracle,h0,h1
Random,1461.4,3811.0
InterleavedRandom,789.4333333333333,3461.233333333333
InterleavedNewFirst,1301.6666666666667,4095.266666666667
InterleavedOldFirst,1224.2333333333333,3157.4333333333334
StochasticLinear,1050.7333333333333,2885.366666666667
StochasticSquare,967.0,3241.0
StochasticExponential,1273.6,3578.3
