oracle,h0,h1
Random,501.8595970446559,2155.949664315722
InterleavedRandom,563.7577844129322,2049.885137007744
InterleavedNewFirst,608.2865426456405,2424.4155426186508
InterleavedOldFirst,679.5890107500384,2428.6974512058973
StochasticLinear,378.0972528808035,1873.2799234791505
StochasticSquare,1030.1121993696393,3164.696845563078
StochasticExponential,1092.3136590917206,2898.327029350034
