oracle,h0,h1
Random,577.6221496617569,2952.443863975913
InterleavedRandom,683.7840885853075,2619.245206684732
InterleavedNewFirst,720.8341837413027,3031.779971939017
InterleavedOldFirst,348.28405150090043,1869.0173952928537
StochasticLinear,417.7499847782444,2092.267498585759
StochasticSquare,734.3181834017763,2399.4277941191394
StochasticExponential,607.2571163644689,2996.0351684397033
