oracle,h0,h1,h2,h3,h4
Random,1.0,2.0,4.0,8.0,15.0
InterleavedRandom,1.0,2.0,4.0,9.0,16.5
InterleavedNewFirst,1.0,2.0,4.5,7.5,15.5
InterleavedOldFirst,1.0,2.0,4.0,7.0,14.0
StochasticLinear,1.0,2.0,4.0,7.5,19.0
StochasticSquare,1.0,2.0,4.0,9.0,19.0
StochasticExponential,1.0,2.0,4.0,8.0,15.0
