oracle,h0,h1,h2,h3,h4
Random,1.1,2.3,4.7,8.9,18.5
InterleavedRandom,1.1,2.2666666666666666,4.466666666666667,9.466666666666667,16.466666666666665
InterleavedNewFirst,1.1,2.3666666666666667,4.5,8.8,17.5
InterleavedOldFirst,1.1,2.3666666666666667,4.233333333333333,7.966666666666667,16.0
StochasticLinear,1.0666666666666667,2.3,4.733333333333333,9.866666666666667,20.4
StochasticSquare,1.0666666666666667,2.3,4.666666666666667,9.4,22.233333333333334
StochasticExponential,1.1333333333333333,2.2666666666666666,4.5,8.6,17.633333333333333
