oracle,h0,h1,h2,h3,h4
Random,1.0615449167090512,2.24102759986994,4.297985566931655,8.12750491750701,16.216556407018423
InterleavedRandom,1.0615449167090512,2.2196401945024493,4.269100935141959,8.709568104693929,15.206265657175944
InterleavedNewFirst,1.0717734625362931,2.2934091369510923,4.348268062148903,7.949139329648662,15.96988400896145
InterleavedOldFirst,1.0717734625362931,2.2934091369510923,4.095530287599214,7.400090738096549,14.268905346770508
StochasticLinear,1.0372991973029506,2.2498433955221633,4.452654473515888,8.534341045863084,18.022463050289296
StochasticSquare,1.0472941228206267,2.2586938709137097,4.380047807575675,8.717296980085788,19.96638247875297
StochasticExponential,1.086357352941934,2.2109427471978327,4.228326248865484,7.973843352329775,16.113184552486434
