oracle,h0,h1,h2,h3,h4
Random,1.0472941228206267,2.1604447450617585,4.457112986953209,9.830826346794092,16.6880985039148
InterleavedRandom,1.0,2.139826387867325,4.239790294649495,8.647012360705816,17.14013627185369
InterleavedNewFirst,1.0472941228206267,2.1028279754643893,4.592762551711345,7.953975759165616,16.107499590556017
InterleavedOldFirst,1.023373891996775,2.2283718559854795,4.598981285869212,9.311790923437611,17.7026271599774
StochasticLinear,1.023373891996775,2.0827594879848204,4.240916556491788,9.380448581479733,15.707432804160552
StochasticSquare,1.0,2.139826387867325,4.555558515803755,10.249970264733589,17.164365618417484
StochasticExponential,1.0,2.1314416833122354,4.588814673780332,9.988887643462386,19.35274195329834
