oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17
Random,1.0472941228206267,11.12028015688193,30.514746882488854,47.47993108439624,65.58365384190574,106.04646302503303,144.2088342472826,197.80589226972492,345.68544646694966,514.4137813235607,867.9482905905905,1285.3758519289456,1803.7469452402545,2231.7543330179997,2751.3569722107895,5154.376183108373,9728.801501502636,16781.613027538333
InterleavedRandom,1.0,11.525047364033762,31.078908526836816,52.751287836794354,68.43241892580612,103.02930776545918,139.6031050760386,197.69339052010574,379.7850708102578,588.7125733797901,937.7874546930124,1514.3970926909246,1953.460359453493,2276.591834492429,2781.73372143253,5177.690580489499,11719.209978075249,17555.830011891132
InterleavedNewFirst,1.023373891996775,10.037584481260799,27.372109369180084,39.899019921290915,60.89813541617346,97.63948401369761,128.58154644490358,210.84575227593137,339.61141708538975,487.90148334157124,775.4884574916666,1250.1810990083166,1747.1690443620078,2071.6984518774093,2420.3766292064793,4552.386866786182,10374.320973437429,16348.473736319547
InterleavedOldFirst,1.023373891996775,14.39096856740071,36.212954772119694,50.487410440916584,65.67526539143967,96.74048775698954,142.06776632861562,193.03286576488978,351.05718488251154,453.7489065901509,878.1666062713946,1251.023879369393,1695.717755927063,2102.325918854822,2556.4701522199316,5044.598453140658,10420.893224843154,17159.48934995665
StochasticLinear,1.023373891996775,12.3706754097532,26.574928758429756,45.610427212569526,65.09553737707377,119.82719824618516,170.6769963297501,234.31971854811349,391.4355571918073,586.1545920359936,1069.9922749219586,1739.3029366220198,2393.7372137719694,2849.9650828703916,3737.937566081325,6192.30249770751,17199.376029699422,26030.246758043697
StochasticSquare,1.023373891996775,9.887092738970347,24.831911020299415,45.86556101197254,68.93894441904735,102.51795473514133,140.33238977082684,179.99065121567293,356.31401227422833,619.423000489359,1125.3955594581917,1730.0335174106797,2241.7358060349566,3015.039697922459,3997.806287218899,7115.638385360415,15899.458360815463,25112.522972406994
StochasticExponential,1.023373891996775,12.931827266216006,28.633590112078686,47.29354772549363,73.51490607770255,110.31299908794385,145.50861286424023,206.67208805257053,346.3846680864657,570.6299493689498,921.3346203919275,1385.8832215414686,1861.6106334765327,2293.2834775123665,2953.424820469313,5302.05325941079,11848.3396212666,20530.663926873232
