oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17
Random,1.0666666666666667,21.066666666666666,41.96666666666667,56.8,73.23333333333333,114.36666666666666,155.16666666666666,206.76666666666668,376.6333333333333,552.2333333333333,948.7,1418.9333333333334,1954.9666666666667,2412.0666666666666,2986.366666666667,5568.8,11352.9,18944.6
InterleavedRandom,1.0,19.433333333333334,38.766666666666666,62.1,78.26666666666667,116.76666666666667,157.16666666666666,216.53333333333333,431.8,655.1,1021.8,1616.6333333333334,2078.5,2421.1666666666665,2949.1666666666665,5721.9,13054.0,19781.3
InterleavedNewFirst,1.0333333333333334,11.733333333333333,30.533333333333335,44.833333333333336,68.03333333333333,108.36666666666666,140.96666666666667,230.03333333333333,364.46666666666664,543.8,865.7,1382.8,1881.1666666666667,2201.866666666667,2565.7,5134.333333333333,12559.466666666667,19010.5
InterleavedOldFirst,1.0333333333333334,17.9,41.93333333333333,56.56666666666667,71.63333333333334,105.53333333333333,152.8,205.06666666666666,388.06666666666666,495.6666666666667,976.1666666666666,1384.3666666666666,1820.5,2286.3333333333335,2756.266666666667,5544.2,11537.533333333333,18689.266666666666
StochasticLinear,1.0333333333333334,17.533333333333335,34.13333333333333,54.03333333333333,75.13333333333334,135.1,185.96666666666667,256.46666666666664,445.6,672.2666666666667,1266.5333333333333,1866.8,2554.5666666666666,2979.3333333333335,3894.633333333333,6925.5,21967.2,31606.133333333335
StochasticSquare,1.0333333333333334,14.333333333333334,33.4,54.1,77.46666666666667,119.23333333333333,153.1,194.16666666666666,388.46666666666664,696.0333333333333,1260.3666666666666,1899.2666666666667,2447.1666666666665,3178.6666666666665,4247.2,8073.3,19604.133333333335,30163.033333333333
StochasticExponential,1.0333333333333334,19.5,40.0,57.1,82.06666666666666,125.1,160.9,223.2,373.23333333333335,628.0666666666667,1023.0,1485.0666666666666,1977.7666666666667,2413.1,3136.4666666666667,5888.9,13186.4,22987.9
