oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,1.0,26.115741400005785,98.85425398400238,274.28823290964584,530.5550508798584,1104.7049800969155,2813.084596526427,5258.638580372545,23182.209194859173,181261.23241351542
InterleavedRandom,1.0,31.796695936671124,93.03206511441815,214.94503694789682,489.4476913335284,1407.2548072106242,2485.851564091723,4937.5790549753165,20984.11481157582,194113.61717077164
InterleavedNewFirst,1.0,25.26880741045171,102.15557160559067,238.7481374843592,481.02023590519013,1092.1489200282278,2417.6051199310727,5100.943182270152,25178.56103297677,194217.61275384735
InterleavedOldFirst,1.023373891996775,28.338645554105785,120.55137540963818,260.94677929740703,530.0795475862163,1325.0864923535037,3185.713946637736,5804.344218844773,25476.808238102378,165589.2134862699
StochasticLinear,1.023373891996775,17.292208125820114,74.80472414470401,224.73667285615733,505.10608080639827,1054.3979246510612,2703.829764514861,5277.193869543283,23269.731461124054,211701.71173433677
StochasticSquare,1.0,24.395949519344637,101.09469360111144,245.12588336253216,530.4251894590506,1217.7480433326446,3764.3362044958776,6079.050443674957,27440.145893193137,191774.12552643995
StochasticExponential,1.0,25.992591308074854,96.74816722862262,219.2125569419552,437.8542606210823,1083.7040013298197,2835.758685050008,6104.88491690747,30370.960043602663,215650.87489718338
