oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
InterleavedRandom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667
InterleavedNewFirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
InterleavedOldFirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
StochasticLinear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
StochasticSquare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667
StochasticExponential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.8
