,Score
Random,621154.3666666668
InterleavedRandom,635137.8333333333
InterleavedNewFirst,698349.4333333332
InterleavedOldFirst,675518.5666666668
StochasticLinear,838226.4333333333
StochasticSquare,795663.9333333333
StochasticExponential,758126.0
