,Score
Random,8.741814868931549
InterleavedRandom,8.39172107744166
InterleavedNewFirst,8.859766530969823
InterleavedOldFirst,8.48709389436698
StochasticLinear,9.381424929028304
StochasticSquare,9.318453402062485
StochasticExponential,9.190838549369452
