oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Random,268.21239717805736,464.56651838030683,1853.9054575559012,2730.3831029525672,9149.986914380443,26603.42686131912,40608.32107543422,62997.52126115757,34415.6147666369,22094.263574863842,8616.263691415206,0.0,0.0
InterleavedRandom,320.20222082649934,525.5679425366641,1328.2674513147651,5178.494644091938,11328.555736574132,28747.106257944564,48311.99753073764,75817.15885160092,79787.44475224992,104270.45658489381,89688.14121994552,0.0,0.0
InterleavedNewFirst,438.0754488542914,961.128933424994,2370.191296545961,4825.904072353237,15315.201162534198,29726.52261385819,42988.8231633009,76668.25984568552,80477.9309429748,135479.28632775077,116992.40613542206,39671.25259570489,75572.35130993491
InterleavedOldFirst,287.91265843809106,503.90378711284427,1955.9073836287173,4485.486764245573,14052.977786299323,34551.30848606011,37375.76591298461,79765.94931620607,91861.47742276592,137393.45062075072,160215.66907342602,75912.8732312394,0.0
StochasticLinear,233.21970804848854,1066.016024999416,3616.977384502148,5855.873287278907,11260.864967961683,41769.81345022583,59937.274740848865,84903.70727100201,95514.59359367844,151385.02586807145,96184.73176459275,83164.89517151385,0.0
StochasticSquare,374.79469342857857,864.00577480066,2261.646467362513,6503.382850400927,22169.97610092432,47393.06043693411,51944.400319112574,90885.84849459972,91193.1495627032,122913.94688516842,70674.72342333967,0.0,0.0
StochasticExponential,282.5182412989764,816.1788175530055,2225.795373693538,3950.2786056457107,11710.183442201065,26756.33768223065,39051.003851103356,64141.05282876345,87926.90525746687,110584.82607531046,60434.44205554937,76418.54020662932,0.0
