oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Random,290.5,728.5,1707.0,4562.5,14137.5,28214.5,71350.5,113890.0,233110.0,200000.0,200000.0,200000.0,200000.0
InterleavedRandom,364.5,782.5,1809.5,4885.0,14635.0,50695.5,76287.0,123973.0,284309.0,200000.0,200000.0,200000.0,200000.0
InterleavedNewFirst,323.5,864.5,3109.5,6625.0,16486.0,40461.5,72446.0,135181.5,308960.5,200000.0,200000.0,200000.0,200000.0
InterleavedOldFirst,155.5,690.0,2684.0,5184.0,18818.0,51911.5,68201.0,171201.0,285052.5,232477.5,200000.0,200000.0,200000.0
StochasticLinear,274.0,1300.5,3094.0,8593.5,21859.5,61302.5,111735.5,198269.5,321563.0,200000.0,200000.0,200000.0,200000.0
StochasticSquare,159.5,977.5,2792.5,5935.5,17964.5,51694.5,84294.0,190132.0,322136.5,200000.0,200000.0,200000.0,200000.0
StochasticExponential,379.0,1215.0,2350.5,5885.0,19769.5,44379.5,90065.5,155396.5,294854.5,200000.0,200000.0,200000.0,200000.0
