oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12
Random,168.27425718047203,570.3793714444054,1797.9501502783905,3845.2117787929365,13005.476531081938,31377.632039458294,56944.34316268036,105367.7038688555,207539.44729310882,208874.64723335512,201439.22960881164,200000.00000000114,200000.00000000114
InterleavedRandom,289.1674731437961,776.3182539305689,2063.4011344534947,5396.091344325434,14117.42800390753,48005.991778656884,71411.18393206592,128387.11556622095,277897.8199073345,247549.50438345526,218744.0234482909,200000.00000000114,200000.00000000114
InterleavedNewFirst,281.94483119129353,900.710158736504,2835.877510134203,6665.112609323606,17283.72822136579,40253.29798520444,65692.13853030653,136006.45452717337,298031.5701462558,260144.9728602673,219830.31235360831,205024.2202351402,207697.90650719957
InterleavedOldFirst,142.34995704208487,593.8598965303003,2494.472507096286,5810.939679484662,18200.262199187848,46947.30103676112,69805.59853376243,159470.82033822176,264325.4207633378,290908.19784675905,239404.97447335377,207719.0240843627,200000.00000000114
StochasticLinear,219.509937978,1217.714267115274,3077.8185663988947,8485.512429228802,22514.63307630723,65677.29185408965,109252.8799493873,208650.61828896892,301438.16969370237,292602.50969047024,214199.43990198735,208154.5918201869,200000.00000000114
StochasticSquare,174.38509809873537,998.4753546341603,2557.3623332311213,6331.7259747646085,18712.124365289477,47146.9514135282,88334.66023627482,172134.90654805585,301561.7395523348,249057.48529101926,207387.07868766502,200000.00000000114,200000.00000000114
StochasticExponential,299.2825099618754,1087.1378887374265,2486.9192009776916,5581.273628525692,17680.43686179926,44238.6323722093,77550.9407363807,159895.3562193309,275289.8571752945,251642.6926244522,210839.27750152943,207750.26875964386,200000.00000000114
