oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,1.05,12.45,25.55,41.45,131.8,242.4,340.75,813.25,1127.05,19379.4
InterleavedRandom,1.1,9.0,18.65,36.6,94.55,185.65,278.95,609.1,1096.25,23984.0
InterleavedNewFirst,1.0,11.2,19.85,28.65,136.4,222.95,333.2,628.25,982.0,17382.8
InterleavedOldFirst,1.0,13.2,27.95,36.6,142.3,216.2,291.0,528.85,805.55,17198.75
StochasticLinear,1.0,10.35,20.8,31.2,100.4,179.95,308.95,1221.8,1974.0,35790.3
StochasticSquare,1.0,14.8,25.35,35.9,130.05,203.8,282.9,973.25,1428.3,18857.45
StochasticExponential,1.05,10.95,20.65,38.5,87.05,184.35,307.5,1072.5,1631.6,15675.45
