oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,0.2179449471770337,8.126961301741261,12.897577291879278,18.93799091772937,124.65255713381896,162.72719502283567,195.40723502470425,395.0831399844848,551.7936638817087,12891.67130902739
InterleavedRandom,0.3,7.035623639735144,11.841769293479755,22.22476096609365,46.08413501412389,97.39880646085966,145.358685670998,451.9912499153053,719.5278920931419,19911.119647071584
InterleavedNewFirst,0.0,7.839642849007856,11.645922033055175,16.680152876997262,87.51365607720888,119.29143934080098,161.75524721009828,226.437822591545,411.29843179861507,15428.689512074576
InterleavedOldFirst,0.0,8.121576201698783,15.341039730083486,17.393677012063897,86.72490991635564,118.68260192631436,145.095141200524,246.4841323493259,401.8102132848293,14492.82951626424
StochasticLinear,0.0,6.498269000279996,12.110326172320876,14.63762275781146,58.970670676192924,104.69693166468633,185.53260495125917,885.6550457147522,1418.2240302575613,22873.855516943353
StochasticSquare,0.0,15.480956042828877,16.974318837585205,16.40396293582743,93.1587220822613,132.90282164047534,152.22939926308584,527.3796426674052,668.7403905851656,14904.613606112036
StochasticExponential,0.21794494717703378,11.569248030879102,13.331447783342965,19.30932417253385,64.2140755598023,127.9442358998638,185.48625285988177,805.9009554529638,1024.63649163984,10012.146815119122
