oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,1.0,10.0,24.0,36.5,91.5,172.5,277.5,819.5,1148.0,20700.0
InterleavedRandom,1.0,7.5,17.0,35.0,82.5,146.5,221.5,458.5,923.5,17784.0
InterleavedNewFirst,1.0,10.0,18.0,23.0,101.0,173.5,324.5,567.5,886.0,13769.0
InterleavedOldFirst,1.0,12.5,22.0,35.5,115.5,189.0,250.5,509.0,756.0,13060.5
StochasticLinear,1.0,9.0,16.5,30.0,86.0,148.5,271.0,947.5,1391.5,36251.5
StochasticSquare,1.0,10.0,22.5,35.0,108.0,191.5,278.5,834.0,1359.5,14446.5
StochasticExponential,1.0,7.5,17.0,34.0,68.5,166.5,258.5,678.5,1275.5,13012.0
