oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,1.1,2.1,127.1,209.7,339.9,589.4,1372.2,24102.45,83372.7,196356.15
InterleavedRandom,1.0,2.0,85.0,195.0,278.3,741.3,1515.05,28606.55,92579.55,258819.9
InterleavedNewFirst,1.0,2.0,103.8,192.3,272.3,616.55,1282.3,36804.7,93258.75,248327.6
InterleavedOldFirst,1.15,2.15,85.4,177.45,282.55,468.7,1304.3,33164.35,95284.05,272469.4
StochasticLinear,1.0,2.0,62.3,176.8,326.95,475.9,3110.1,47506.85,146376.15,304668.95
StochasticSquare,1.0,2.0,82.6,210.1,372.25,659.5,2179.0,25809.7,102391.95,276329.25
StochasticExponential,1.05,2.05,72.15,150.6,260.65,545.45,2013.6,37669.8,134196.05,296003.5
