oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
Random,0.3,0.3,105.69148499287915,142.98185199527947,175.10793814102203,329.60027305813935,859.2846210656861,24611.435895686784,59616.7898079895,50909.896424246435
InterleavedRandom,0.0,0.0,54.271539502763325,124.43150726403663,150.4260948107076,526.1493229112815,929.6196251693485,25882.75869275723,55465.094430168414,81111.32642294785
InterleavedNewFirst,0.0,0.0,93.36787456079313,112.04824853606593,129.32289047187277,436.10130417140465,656.0513013476918,29637.01746819339,56352.25633980861,81522.99239318931
InterleavedOldFirst,0.3570714214271425,0.3570714214271425,77.02817666282904,120.07475796352871,142.18596098068193,211.57388780281937,1113.5480277024426,25881.916332209636,57979.17081027893,72822.48865590904
StochasticLinear,0.0,0.0,47.604726656079016,104.11800996945726,160.1241627612772,202.4074850394619,2749.544869610241,42268.3738145614,76436.12160966503,104381.12357532611
StochasticSquare,0.0,0.0,69.65730399606348,172.86697197556276,202.50404316951304,265.8617121738292,1706.5732038210374,21923.76511710523,62484.54641307321,66462.48100460516
StochasticExponential,0.21794494717703375,0.21794494717703364,64.1656255326791,92.45128446917327,168.01645008748397,408.15419573979636,1322.440032666888,29448.627218598835,74545.90641643242,101687.28755822923
