,Score
Random,3.736987047660314
InterleavedRandom,3.6299203055152036
InterleavedNewFirst,3.5813227111405936
InterleavedOldFirst,3.568758075785806
StochasticLinear,3.771043333461634
StochasticSquare,3.8292696442642504
StochasticExponential,3.759749210148982
