,Score
Random,161.83333333333331
InterleavedRandom,156.36666666666667
InterleavedNewFirst,155.06666666666666
InterleavedOldFirst,153.83333333333334
StochasticLinear,162.06666666666666
StochasticSquare,164.16666666666666
StochasticExponential,162.0
