oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
Random,1.0333333333333334,9.266666666666667,19.933333333333334,30.9,40.733333333333334,56.6,81.06666666666666,143.16666666666666,238.23333333333332,329.8333333333333,379.26666666666665,466.8333333333333
InterleavedRandom,1.0666666666666667,9.333333333333334,17.866666666666667,27.233333333333334,34.43333333333333,47.63333333333333,69.6,145.4,225.03333333333333,329.53333333333336,413.1333333333333,466.26666666666665
InterleavedNewFirst,1.0,10.633333333333333,16.766666666666666,28.4,42.4,62.43333333333333,80.83333333333333,149.86666666666667,250.6,333.46666666666664,415.4,471.3666666666667
InterleavedOldFirst,1.0666666666666667,9.066666666666666,15.8,24.833333333333332,33.266666666666666,52.166666666666664,72.8,144.16666666666666,238.83333333333334,319.26666666666665,375.06666666666666,442.03333333333336
StochasticLinear,1.0,10.966666666666667,19.8,31.6,42.3,58.733333333333334,78.16666666666667,140.86666666666667,238.7,503.7,668.7666666666667,809.6666666666666
StochasticSquare,1.0,8.6,17.833333333333332,30.933333333333334,40.6,56.733333333333334,76.16666666666667,139.86666666666667,220.6,362.3,499.4,603.3333333333334
StochasticExponential,1.0666666666666667,10.933333333333334,18.366666666666667,27.533333333333335,34.166666666666664,59.5,78.2,140.86666666666667,221.26666666666668,369.3666666666667,460.76666666666665,524.3
