oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
Random,1.0,6.240521057702535,15.671473321041189,24.80237569339429,36.40709004013044,49.814662627606296,70.09374545267313,106.59001226226546,165.96948780383045,271.1380279298989,372.26107770372323,481.8704003365381
InterleavedRandom,1.0,8.072102144775634,12.73245742622276,24.845420763698247,37.086584245987424,49.751336594453704,62.54723428200012,128.24534877296526,204.6971980253581,295.94540161827786,346.62816298076444,438.4567170553945
InterleavedNewFirst,1.0,8.189124832338393,15.750785670671885,25.17157262662571,32.71221399880227,50.66041410910704,68.66457071323904,126.68784773811163,187.76301767385772,273.06792472084726,312.9194259588473,381.43854969041126
InterleavedOldFirst,1.0,8.035662560653286,15.625062436856826,25.235416795713753,34.455584125256934,48.28613428561178,73.00968264193904,138.63624729535292,185.6888939387061,252.1376437819219,312.83789619678146,395.726762090955
StochasticLinear,1.0,8.387322940766499,15.36209510714618,25.49352355246191,35.460958348137865,49.895995318078505,72.96490323450759,105.48587299285703,175.89386670494645,317.7826068979386,457.67840634159006,616.0215123232342
StochasticSquare,1.0,8.959520664977568,15.747809793529045,26.584752851905726,39.55425241126061,51.664222430502825,64.54917804805724,97.72422876993167,161.19457968797005,307.38912552637663,424.9284250859649,521.7126795115396
StochasticExponential,1.0,6.141117638516836,14.886485932927725,23.938683121594725,33.55695282888925,48.88594588605324,61.78944814429564,103.14893214431349,190.32213298458524,308.0067110913081,419.1796609410893,495.92234927614146
