oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
Random,0.17950549357114998,7.013954345129114,10.859506843724022,15.606302145821305,19.031435982488436,27.286871079941232,31.43451747504467,69.72903906471743,112.2775380722055,157.07537115099305,163.93249288113148,190.39714341928092
InterleavedRandom,0.2494438257849295,8.0718991294215,10.993129167297585,14.829437690695565,16.302726425015198,22.080886656915652,30.558795787792427,65.34044179016036,100.1953037267161,164.30170080948304,191.25737168073343,190.39799251976257
InterleavedNewFirst,0.0,7.422862580493383,8.924435867636427,15.357083056361974,20.022653836758668,26.8299376733446,29.683983709887876,69.15187793706129,118.75594020230454,145.05188343792332,149.17497556002257,160.39752353311306
InterleavedOldFirst,0.24944382578492946,5.372357231441541,7.152621896899067,8.733396946333208,12.495154616445884,17.359115440853802,22.935271235951554,71.33165885885143,112.20757055069363,122.44861053610295,137.67593189160633,167.20296714538955
StochasticLinear,0.0,9.15963366564891,12.770800027145258,17.913867998471652,20.717384004743455,30.272025957235762,34.95147429731049,67.40511025796849,103.27024418162928,252.2628457251153,336.4415435439301,312.26114427226173
StochasticSquare,0.0,7.050295502081219,11.642117027795628,16.55885127524115,17.75312179120431,26.60192140094813,35.0333967649283,58.12614634472931,113.66694037112696,156.61293050064543,212.68405362571653,224.9582677347561
StochasticExponential,0.24944382578492943,7.201543044530264,8.592567847984805,14.143864001357226,14.975721091894782,19.95286111480423,26.37473538571841,73.43647292425987,116.59186173237919,194.72672874797874,210.35742334311752,214.5617471343234
