oracle,h0
Random,431.89704031993017
InterleavedRandom,389.8947345680746
InterleavedNewFirst,234.79413174148732
InterleavedOldFirst,258.87009384066897
StochasticLinear,230.90025979130797
StochasticSquare,404.6562212382194
StochasticExponential,317.3710975300439
