oracle,h0
Random,451.6394087715946
InterleavedRandom,662.6630457647553
InterleavedNewFirst,509.40545300924646
InterleavedOldFirst,375.5256168211283
StochasticLinear,449.63797907007614
StochasticSquare,609.5561080728245
StochasticExponential,360.913045852691
