oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,1.0,7.933333333333334,17.3,29.133333333333333,40.06666666666667,55.0,141.33333333333334,232.23333333333332,334.5,526.4,806.2,1094.1666666666667,1404.3,1672.1,2044.2333333333333,2555.6666666666665,99118.8
InterleavedRandom,1.0,9.666666666666666,17.066666666666666,26.4,35.53333333333333,46.96666666666667,149.5,218.73333333333332,282.4,452.46666666666664,769.4333333333333,991.2333333333333,1259.9333333333334,1674.6333333333334,2090.0,2813.6,84996.1
InterleavedNewFirst,1.0,11.033333333333333,19.666666666666668,30.066666666666666,46.56666666666667,55.3,134.56666666666666,216.4,292.23333333333335,457.96666666666664,684.3333333333334,990.5666666666667,1268.8666666666666,1661.9,1913.8,2446.6,93001.93333333333
InterleavedOldFirst,1.0,10.433333333333334,20.433333333333334,31.566666666666666,43.96666666666667,56.233333333333334,126.16666666666667,216.13333333333333,308.6333333333333,504.2,744.2666666666667,1149.6666666666667,1544.9666666666667,1804.1666666666667,2204.6,2742.0,89832.43333333333
StochasticLinear,1.0,9.466666666666667,18.233333333333334,26.3,36.53333333333333,44.96666666666667,99.2,187.0,267.1,438.8,872.5333333333333,1477.1666666666667,1964.0666666666666,2467.8333333333335,3286.1,4064.866666666667,135891.23333333334
StochasticSquare,1.0666666666666667,8.066666666666666,16.2,25.233333333333334,33.733333333333334,50.53333333333333,113.3,206.06666666666666,304.26666666666665,498.26666666666665,855.8666666666667,1333.2333333333333,1703.7333333333333,2210.866666666667,2835.5333333333333,3526.133333333333,111480.36666666667
StochasticExponential,1.0333333333333334,11.133333333333333,19.933333333333334,28.966666666666665,45.36666666666667,55.53333333333333,150.56666666666666,227.7,302.6666666666667,518.6,877.1,1169.3333333333333,1593.6,1873.3666666666666,2168.6666666666665,2862.7,76087.66666666667
