oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,1.0,5.807023767097007,13.603487386931292,23.971048870313805,33.98386433466313,50.26673306315068,116.99419841230055,209.07423799330078,303.8442979695536,477.89154587967874,740.1572955761735,1008.2221694908733,1297.6576883100013,1544.2137698630424,1924.9542757272889,2366.907811252732,75938.60390348102
InterleavedRandom,1.0,7.228808192691868,14.871150212903915,23.309746410531716,32.11704645733435,43.742674741419755,121.0236872364873,185.86304592263133,257.34587906244474,419.33975988207516,709.0134808106164,929.6567322023327,1192.1452921783507,1575.302867852058,1973.088335925167,2706.1952759062024,50643.64511091309
InterleavedNewFirst,1.0,9.53898754470854,16.983175349622922,26.955423778349164,40.226760439852185,50.0221501003651,117.69370424459082,194.74629046096408,264.40387518898024,411.70245548737216,597.3598742614049,859.9151863399106,1157.5570810408256,1508.9383331596803,1776.4557563550266,2257.7049558105487,60388.5187446273
InterleavedOldFirst,1.0,9.366279673205687,18.531206529434314,28.44282097510099,40.60963076323619,52.23988524611206,108.88650077259379,185.2753781427184,266.4569890796948,446.8589836530858,658.1874249621246,1014.9672395337117,1369.3388407517025,1602.5145379038352,1940.912756284259,2482.9905922001253,58899.292922485634
StochasticLinear,1.0,7.218997995446559,15.720027055218766,23.252713537657442,33.70448650951486,42.23553824354446,90.22599976866832,161.14073958468668,237.1324041591106,385.7663850552654,764.8714062556611,1290.2940336555369,1742.9695737218058,2240.559473707082,2962.3666614638214,3659.5457353215324,100034.67643503704
StochasticSquare,1.0472941228206267,6.220530808352731,13.715300948677205,21.80435401514264,31.32904384123129,46.62415430096212,95.81679752002228,172.72113491329242,267.2944345065679,460.54722748215437,790.1818190253371,1203.0727070953653,1569.3582262986167,2069.276339049581,2708.4446457054937,3359.725039396393,77249.67590900513
StochasticExponential,1.023373891996775,9.438393174591537,16.250073755889197,24.89253050506081,43.17845133571163,52.301277687502385,127.30692868184595,204.12952675833102,279.34793564380846,464.0812080096572,775.5949170527324,1050.9182971248074,1487.6065194181342,1749.9339960282896,2036.9032552118886,2695.877684679473,44670.18672665745
