oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,1.0,13.0,29.0,42.0,51.5,63.5,141.5,221.0,354.0,581.0,780.0,1093.0,1352.5,1853.5,2025.0,2695.0,52711.0
InterleavedRandom,1.0,8.0,17.5,31.0,40.5,54.5,142.5,202.0,303.0,462.0,790.0,1085.5,1695.5,1995.0,2257.5,2811.5,66392.5
InterleavedNewFirst,1.0,11.0,22.5,30.0,56.5,64.0,129.0,217.0,292.0,393.5,741.5,981.0,1219.0,1523.5,1653.5,2203.0,100468.5
InterleavedOldFirst,1.0,10.5,21.5,32.5,49.5,56.0,125.0,238.0,314.0,430.5,709.0,816.5,936.5,1330.5,2043.5,2187.5,74867.5
StochasticLinear,1.0,6.0,14.5,25.0,34.0,49.5,99.5,190.0,254.0,356.5,979.5,1405.0,2242.0,2687.0,3629.0,4448.0,202438.0
StochasticSquare,1.0,9.0,22.0,32.5,46.5,56.5,97.0,180.0,277.5,448.0,821.5,1137.0,1581.0,2031.5,2184.0,3023.0,83985.5
StochasticExponential,1.0,7.0,19.5,27.0,36.0,50.5,127.0,203.5,267.0,405.5,793.5,1267.5,1754.5,1993.0,2315.0,2451.0,71010.0
