oracle,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16
Random,0.0,10.485585343699226,15.278988840888653,18.50911937397347,20.367314501426055,22.60635972464386,72.14352015254038,120.4074333253558,119.17309889400377,126.43729671263935,313.6518770866835,457.81704588186756,487.208671926106,697.59232184708,715.1636788176536,837.5507507011142,61638.72516843613
InterleavedRandom,0.2179449471770338,6.108191221630181,9.115234500549068,8.956980518009402,12.543025950702646,13.439773063560262,56.688160139485916,106.51773326540516,131.56757769298633,218.5376397785974,350.2789281415597,460.8393944749081,618.9976494301088,674.3637297482717,756.0628594898708,749.6926220125151,49676.023979657424
InterleavedNewFirst,0.0,7.4463078099149245,12.096590428711718,19.638928178492836,22.087270089352373,24.12234441342715,78.30100574066721,109.30474600857913,122.89564679027488,174.39933342762524,338.0008727799382,466.31633844419395,464.5268991134959,718.1259551777807,751.4777757858178,765.7884352090987,60592.70180960328
InterleavedOldFirst,0.0,11.208367410109288,15.177203299686013,19.3778223750761,21.87007087322764,22.79139091850254,82.27470753518361,109.06759372059145,202.3666227419927,233.50640248181634,350.22008794470946,516.6822306795541,789.7445963727766,860.7535884328337,927.0335700501897,1087.187356208671,52566.08279344677
StochasticLinear,0.0,6.1504064906313305,6.825686778632609,10.091952239284527,13.09150487911913,19.298704619740672,56.733587935190556,77.54835588199147,82.00809411271548,149.75109348515625,552.5397180293919,834.7521248849864,1028.4600757929304,1240.7036420918575,1223.7287802041758,1302.6275023965984,64744.89331234935
StochasticSquare,0.0,11.401315713548152,13.279307210845,13.973099155162394,14.781407240178453,18.147933766685398,50.25562157609833,76.86702804193746,99.05517401933128,150.60149401649375,388.93437428440285,672.9905552829103,915.9250569779167,970.2159179790857,1075.893563508956,1233.100071973074,82649.20724604683
StochasticExponential,0.0,7.1545440106270926,9.07345028090197,14.16853909194593,13.089977081721724,20.596783729504953,120.49124449519144,118.80297765628605,142.61012411466444,204.82784844839824,352.75550668983186,558.4952528894047,819.8236685409856,884.3776286180017,1010.9270633928047,1255.08587753986,72021.77791168446
